ID Variant;category;name;Brand Name;Basic - Price;In Stock;Track Stock;Track Alert;Track Cost;Cost Amount
127180684;filter;filter reguler klik;Unbranded;4000;0;No;No;Yes;1719
127180685;filter;filter reguler klik;Unbranded;19000;0;No;No;Yes;9550
127180686;filter;filter reguler klik;Unbranded;37000;0;No;No;Yes;19100
127180772;filter;filter mild bubblegum klik;Unbranded;4000;0;No;No;Yes;1440
127180773;filter;filter mild bubblegum klik;Unbranded;19000;0;No;No;Yes;8000
127180774;filter;filter mild bubblegum klik;Unbranded;37000;0;No;No;Yes;16000
127498754;accessories;kotak rokok firetric gliter;Unbranded;20000;8;Yes;Yes;Yes;12100
127687187;accessories;Korek zurich;Unbranded;5000;25;Yes;Yes;Yes;3800
128055949;kertas papir;Papir kertas Raw;Unbranded;15000;0;Yes;Yes;Yes;12500
129029093;accessories;pipa kayu gaharu;Unbranded;20000;6;Yes;Yes;Yes;10000
129029097;accessories;pipa tanduk panjang;Unbranded;25000;3;Yes;Yes;Yes;12000
129367547;tembakau mole;cap nona putih kecil;Unbranded;11000;6;Yes;Yes;Yes;8500
129400452;filter;filter reg bubblegum klik;Unbranded;4000;0;No;No;Yes;1440
129400453;filter;filter reg bubblegum klik;Unbranded;19000;0;No;No;Yes;8000
129400454;filter;filter reg bubblegum klik;Unbranded;37000;0;No;No;Yes;16000
129455053;cengkeh;cengkeh gaun;Unbranded;2000;35;Yes;Yes;Yes;1260
129506410;rokok mix ;yk apel 16;Unbranded;11500;4;Yes;Yes;Yes;10057
129506412;rokok djarum;mld fresh cola;Unbranded;29000;3;Yes;Yes;Yes;26995
130201865;cerutu;crt Negresco rum;Unbranded;15000;13;Yes;Yes;Yes;11193
130201880;cerutu;crt Negresco clove;Unbranded;15000;7;Yes;Yes;Yes;11167
130768756;tembakau original;ploso super 50k II;Unbranded;13500;0;No;No;Yes;5250
130768757;tembakau original;ploso super 50k II;Unbranded;26000;0;No;No;Yes;10500
130768758;tembakau original;ploso super 50k II;Unbranded;50000;0;No;No;Yes;21000
130779564;cengkeh;manado super;Unbranded;4000;0;No;No;Yes;2000
130779565;cengkeh;manado super;Unbranded;18000;0;No;No;Yes;10000
130779566;cengkeh;manado super;Unbranded;35000;0;No;No;Yes;20000
130994181;rokok mix ;aroma slim 16;Unbranded;14000;11;Yes;Yes;Yes;12765
131325264;alat linting;alat linting gizeh 70mm;Unbranded;12000;4;Yes;Yes;Yes;5800
131325297;accessories;pemotong cerutu knifezer;Unbranded;15000;3;Yes;Yes;Yes;5900
131325312;accessories;kotak rokok alumunium motif;Unbranded;15000;6;Yes;Yes;Yes;3700
131325334;accessories;kotak rokok firetric 20slot anti lembab;Unbranded;25000;6;Yes;Yes;Yes;13000
131325353;accessories;kotak rokok firetric with lighter slot;Unbranded;35000;6;Yes;Yes;Yes;23000
131325419;accessories;asbak portable;Unbranded;10000;3;Yes;Yes;Yes;5500
131325486;accessories;boxin pipa rokok cangklong;Unbranded;25000;7;Yes;Yes;Yes;11900
131325531;accessories;korek firetric outdoor;Unbranded;11000;1;Yes;Yes;Yes;5100
131325734;accessories;kotak rokok firetric persegi black;Unbranded;30000;8;Yes;Yes;Yes;12800
131473350;rokok mix ;win filter 20;Unbranded;27000;2;Yes;Yes;Yes;25642
131658702;kertas papir;buffalo biru tawar;Unbranded;1000;0;No;No;Yes;350
131658703;kertas papir;buffalo biru tawar;Unbranded;2000;0;No;No;Yes;1050
131688013;accessories;korek zippo;Unbranded;30000;0;Yes;Yes;Yes;13500
131688018;accessories;minyak zippo;Unbranded;15000;3;Yes;Yes;Yes;7700
132451938;tembakau original;paksi super;Unbranded;14000;0;No;No;Yes;6875
132451939;tembakau original;paksi super;Unbranded;26000;0;No;No;Yes;13750
132451940;tembakau original;paksi super;Unbranded;50000;0;No;No;Yes;27500
132636931;rokok mix ;gunung cengkeh jambu 20;Unbranded;13000;5;Yes;Yes;Yes;10883
132636938;rokok mix ;gunung cengkeh anggur 20;Unbranded;13000;5;Yes;Yes;Yes;10876
132636944;rokok mix ;gunung cengkeh mangga 20;Unbranded;13000;8;Yes;Yes;Yes;10876
132636951;rokok mix ;gunung cengkeh hijau 20;Unbranded;13000;1;Yes;Yes;Yes;10383
132637165;accessories;pipa kayu panjang;Unbranded;20000;5;Yes;Yes;Yes;10500
133198554;tembakau original;paksi;Unbranded;10000;0;No;No;Yes;4125
133198555;tembakau original;paksi;Unbranded;18000;0;No;No;Yes;8250
133198556;tembakau original;paksi;Unbranded;35000;0;No;No;Yes;16500
133418999;rokok mix ;tenor teh;Unbranded;9000;9;Yes;Yes;Yes;7638
133419341;alat linting;alat linting 10x110;Unbranded;15000;2;Yes;Yes;Yes;7400
135795766;rokok mix ;senior caffe late;Unbranded;15500;20;Yes;Yes;Yes;14157
135795769;rokok mix ;sukun Special baru 12;Unbranded;11500;5;Yes;Yes;Yes;9945
137055720;alat linting;alat linting becak;Unbranded;30000;5;Yes;Yes;Yes;16000
137124765;cerutu;crt negresco apel;Unbranded;15000;0;Yes;Yes;Yes;11200
137447458;rokok herbal;st raos ngeten purun;Unbranded;14000;0;Yes;Yes;Yes;12000
138241331;rokok mix ;bentoel;Unbranded;11000;9;Yes;No;Yes;8648
138731826;rokok herbal;assikha gold;Unbranded;28500;15;Yes;Yes;Yes;25500
138732159;tembakau original;lamsi cepit super;Unbranded;14000;0;No;No;Yes;7500
138732160;tembakau original;lamsi cepit super;Unbranded;26000;0;No;No;Yes;15000
138732161;tembakau original;lamsi cepit super;Unbranded;50000;0;No;No;Yes;30000
139302137;rokok mix ;son mix;Unbranded;8000;-3;Yes;Yes;Yes;7000
139506067;rokok herbal;st raos paling eco;Unbranded;35000;0;Yes;Yes;Yes;33000
139508130;accessories;pipa kayu pendek;Unbranded;15000;28;Yes;Yes;Yes;7000
139611550;rokok mix ;sukun executive 12;Unbranded;18000;0;Yes;Yes;Yes;16426
140719259;cerutu;negresco mint;Unbranded;15000;10;Yes;Yes;Yes;11200
140719263;cerutu;crt adipati club creamy;Unbranded;8000;10;Yes;Yes;Yes;5400
140772297;rokok sampoerna;sampoerna prima;Unbranded;16000;0;No;No;No;
140772298;rokok gudang garam;gudang garam deluxe;Unbranded;20000;0;No;No;No;
140772299;rokok mix ;camel purple 16;Unbranded;24500;0;No;No;No;
140819630;accessories;pipa tanduk pendek;Unbranded;15000;10;Yes;Yes;Yes;9000
